,Asthma,Carcinogenic,Cardiovascular.toxicity,Cytotoxic,Deregulation.of.cellular.metabolism,Endocrine.deregulation.disruption,Environmental.hazard,Genotoxic,Hepatotoxic,Immunotoxic,Intestinal.toxicity,Lung.fibrosis,Nephrotoxic,Neurotoxic,Reproductive.toxicity,Skin.irritation,Skin.sensitizatioin,global,0,1
31,0.654,0.841,0.757,0.887,0.891,0.367,0.11599999999999999,0.963,0.516,0.831,0.15300000000000002,0.971,0.353,0.817,0.635,0.08899999999999997,0.09699999999999998,0.8975616534491321,32_Baytube,Carbon_nanotubes
32,0.64,0.841,0.772,0.618,0.749,0.365,0.11499999999999999,0.743,0.51,0.76,0.14400000000000002,0.391,0.385,0.798,0.636,0.08599999999999997,0.09399999999999997,0.8907476371532684,33_NM-403,Carbon_nanotubes
33,0.64,0.846,0.773,0.924,0.923,0.365,0.10299999999999998,0.886,0.532,0.887,0.15000000000000002,0.824,0.355,0.807,0.638,0.07299999999999995,0.08599999999999997,0.8941561861319824,34_CNTSmall (NRCWE-026),Carbon_nanotubes
34,0.649,0.952,0.912,0.971,0.957,0.349,0.259,0.923,0.531,0.825,0.15800000000000003,0.82,0.357,0.808,0.844,0.08499999999999996,0.08399999999999996,0.9310918917527069,35_MWCNT_NH2,Carbon_nanotubes
35,0.651,0.939,0.912,0.866,0.745,0.365,0.255,0.823,0.504,0.639,0.14300000000000002,0.821,0.353,0.804,0.828,0.07799999999999996,0.08399999999999996,0.9434390143529551,36_MWCNT_COOH,Carbon_nanotubes
36,0.661,0.931,0.911,0.862,0.754,0.369,0.256,0.819,0.506,0.644,0.15600000000000003,0.732,0.373,0.807,0.83,0.08699999999999997,0.08999999999999997,0.942036360502243,37_MWCNT_PEG,Carbon_nanotubes
37,0.633,0.931,0.756,0.75,0.774,0.365,0.11399999999999999,0.831,0.525,0.649,0.14100000000000001,0.831,0.34099999999999997,0.814,0.634,0.08499999999999996,0.08599999999999997,0.8962272185463089,38_SES_MW,Carbon_nanotubes
38,0.835,0.962,0.924,0.969,0.849,0.359,0.259,0.962,0.512,0.933,0.15800000000000003,0.959,0.33799999999999997,0.812,0.848,0.08999999999999997,0.09399999999999997,0.9507436186403364,39_CNTLarge  (NM-401),Carbon_nanotubes
2,0.07699999999999996,0.251,0.20599999999999996,0.944,0.92,0.33999999999999997,0.986,0.628,0.98,0.874,0.742,0.28800000000000003,0.902,0.745,0.64,0.744,0.38,0.9581653169683508,3_BioPure Ag-20,Silver
39,0.933,0.984,0.959,0.958,0.908,0.373,0.504,0.935,0.776,0.97,0.36,0.981,0.63,0.905,0.843,0.253,0.267,0.9501647131519394,40_NM-401,Carbon_nanotubes
40,0.933,0.983,0.963,0.969,0.945,0.362,0.51,0.973,0.764,0.976,0.372,0.99,0.631,0.911,0.848,0.239,0.249,0.9443282980818649,41_MWCNT,Carbon_nanotubes
41,0.945,0.986,0.953,0.969,0.942,0.359,0.53,0.977,0.782,0.97,0.34299999999999997,0.981,0.642,0.908,0.837,0.251,0.24,0.9508493101155316,42_LNT,Carbon_nanotubes
42,0.838,0.961,0.957,0.959,0.958,0.15300000000000002,0.511,0.938,0.767,0.936,0.355,0.822,0.638,0.908,0.838,0.06399999999999995,0.07599999999999996,0.8325657488347532,43_tCNT,Carbon_nanotubes
43,0.838,0.882,0.945,0.827,0.943,0.14400000000000002,0.514,0.836,0.778,0.727,0.362,0.753,0.621,0.894,0.836,0.07799999999999996,0.07799999999999996,0.8228730533096764,44_MWCNTs,Carbon_nanotubes
44,0.835,0.929,0.954,0.937,0.91,0.15700000000000003,0.513,0.896,0.76,0.625,0.35,0.738,0.644,0.902,0.824,0.07699999999999996,0.06399999999999995,0.8342123038925089,45_SIG_MW,Carbon_nanotubes
45,0.854,0.89,0.951,0.928,0.948,0.15000000000000002,0.505,0.832,0.774,0.735,0.373,0.742,0.65,0.914,0.85,0.07199999999999995,0.07099999999999995,0.8322964618961375,46_MWCNT,Carbon_nanotubes
